player_id,sensor_id,team_id,datestamp,country,abbrevation,latitude,longitude
1,61,1,2024-05-05 14:01:54,France,FR,45.765224,4.982131
2,52,1,2024-05-05 15:12:09,France,FR,45.13307521,4.734670628
3,74,1,2024-05-05 16:19:59,France,FR,44.95857214,4.015915593
4,24,1,2024-05-05 16:10:40,France,FR,45.03208245,4.630483439
5,5,1,2024-05-05 14:27:58,France,FR,44.79745966,4.658441914
6,59,1,2024-05-05 15:17:18,France,FR,45.18191736,4.429332891
7,95,1,2024-05-05 14:30:00,France,FR,45.0983526,4.092610449
8,24,1,2024-05-05 14:58:49,France,FR,45.06159633,4.974532206
9,71,1,2024-05-05 15:21:31,France,FR,45.61535906,4.455432512
10,97,1,2024-05-05 14:53:43,France,FR,44.90200808,4.695390559
11,96,1,2024-05-05 15:10:43,France,FR,45.13371857,4.372668744
12,29,2,2024-05-05 14:56:46,France,FR,44.78837326,4.485135683
13,35,2,2024-05-05 15:41:09,France,FR,45.36073251,4.618568372
14,81,2,2024-05-05 14:24:14,France,FR,45.38852829,4.706865797
15,93,2,2024-05-05 14:23:27,France,FR,45.37388581,4.961566347
16,54,2,2024-05-05 14:52:43,France,FR,45.52513952,4.820297684
17,51,2,2024-05-05 16:09:33,France,FR,45.62660283,4.623027599
18,39,2,2024-05-05 14:10:37,France,FR,45.35305139,4.592131429
19,96,2,2024-05-05 14:23:51,France,FR,44.79367597,4.615529181
20,29,2,2024-05-05 15:54:47,France,FR,45.18612909,4.16149624
21,65,2,2024-05-05 15:19:36,France,FR,45.4710336,4.006138322
22,5,2,2024-05-05 14:39:55,France,FR,45.05220177,4.422065103
1,76,1,2024-05-06 14:01:54,France,FR,45.67974536,4.898572975
2,7,1,2024-05-05 14:40:28,France,FR,45.74637299,4.962185144
3,0,1,2024-05-05 16:20:38,France,FR,45.70473688,4.917109616
4,61,1,2024-05-05 14:45:14,France,FR,45.74331219,4.953777141
5,58,1,2024-05-05 14:58:11,France,FR,45.6672029,4.927738612
6,42,1,2024-05-05 16:13:33,France,FR,45.72739282,4.917746646
7,72,1,2024-05-05 15:21:24,France,FR,45.73387581,4.95058871
8,87,1,2024-05-05 15:13:13,France,FR,45.73364385,4.899155678
9,34,1,2024-05-05 14:40:52,France,FR,45.74195775,4.911586704
10,40,1,2024-05-05 15:49:16,France,FR,45.70052011,4.938225885
11,11,1,2024-05-05 16:22:21,France,FR,45.67145939,4.942414882
12,6,2,2024-05-05 14:15:37,France,FR,45.70904162,4.900750295
13,88,2,2024-05-05 15:45:55,France,FR,45.75947718,4.90052285
14,19,2,2024-05-05 14:08:38,France,FR,45.72589461,4.97430737
15,20,2,2024-05-05 16:03:19,France,FR,45.71373458,4.964301595
16,21,2,2024-05-05 14:13:45,France,FR,45.69157743,4.914677642
17,41,2,2024-05-05 14:16:36,France,FR,45.75744835,4.945492491
18,86,2,2024-05-05 16:02:21,France,FR,45.66959175,4.892045462
19,54,2,2024-05-05 16:14:35,France,FR,45.67347731,4.927342603
20,44,2,2024-05-05 14:39:39,France,FR,45.6700854,4.891005434
21,82,2,2024-05-05 15:51:03,France,FR,45.72952073,4.89563403
22,26,2,2024-05-05 14:21:48,France,FR,45.66530636,4.882567473
